field_of_study,year,number_of_degrees
All Female,1985,"10,743"
Physical sciences and earth sciences,1985,569
Engineering ,1985,198
Educaton,1985,"3,491"
Humanities and arts,1985,"1,392"
All Female,2000,"18,131"
Physical sciences and earth sciences,2000,"1,022"
Engineering ,2000,838
Educaton,2000,"4,179"
Humanities and arts,2000,"2,672"
All Female,2015,"25,403"
Physical sciences and earth sciences,2015,"1,988"
Engineering ,2015,"2,301"
Educaton,2015,"3,502"
Humanities and arts,2015,"2,832"
